MONTH,SALESFORCE_PROJECT_ID,PROJECT_ID,USER_ID,USER_TYPE,USER_POSITION,MODULE_NAME,ATTRIBUTES,INDUSTRIES,SESSIONS
2023-03-01,00157000021SSkMAAW,37616,3671989228527776675,customer,Technical / IT / Security,Session Replay,"[
  ""e_commerce""
]","[
  ""food_supplies""
]",49
2023-06-01,001D000000sWJ8GIAW,16528,8182468471776032771,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce""
]","[
  ""food_supplies""
]",19
2023-08-01,00157000020YJnzAAG,5848,17214744166281383744,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""travel""
]",20
2023-11-01,0015700001ruBwIAAU,52336,14309495034199053460,customer,Others,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""b2b""
]","[
  ""media""
]",1
2023-02-01,0017T00000DjrXGQAZ,33536,13652973715322694811,customer,Analytics,Zoning Analysis,,"[
  ""consumer_equipment""
]",7
2023-07-01,0015700002By5jRAAR,4754,11134063628880770556,customer,Product management,Workspace,"[
  ""b2c""
]","[
  ""finance_insurance""
]",8
2023-03-01,001D000000xmDJ0IAM,37248,11452202783262430218,customer,Analytics,Page Comparator,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",2
2023-07-01,001D000001WUTfTIAX,1287,4157985477783848931,customer,Optimisation / Performance,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""pure_player""
]","[
  ""travel""
]",6
2023-09-01,0015700001u7XmsAAE,3247,12539565303036360433,customer,Acquisition,Zoning Analysis,"[
  ""b2c"",
  ""pure_player"",
  ""e_commerce""
]","[
  ""entertainment""
]",6
2023-10-01,0015700001unVFDAA2,32144,14194853010245015760,customer,Product management,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",9
2023-08-01,00157000020YJo5AAG,55680,5418048456642957071,customer,Dev / IT / QA / Security,Page Comparator,"[
  ""b2c"",
  ""brick_mortar"",
  ""multi_domain""
]","[
  ""food_supplies""
]",1
2023-01-01,001D000000yodtjIAA,17408,18241058012599670501,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""brick_mortar"",
  ""lead_generation"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""vehicle""
]",22
2023-08-01,001D000000qyDA7IAM,4940,16331924110796761692,customer,Analytics,Homepage,,"[
  ""entertainment""
]",20
2023-07-01,00157000026Yg1OAAS,45120,17183000901166381533,customer,Technical / IT / Security,Log Visualizer,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",29
2023-08-01,0012o00002tTy5hAAC,33424,6526507095881845790,customer,Product management,Log Visualizer,,"[
  ""health_supplies""
]",1
2023-04-01,00157000026BvjVAAS,40576,5364934042945688279,customer,Technical / IT / Security,Funnel,"[
  ""b2c"",
  ""pure_player""
]","[
  ""food_supplies""
]",4
2023-10-01,001D000001WUTFSIA5,53344,10418849713329578130,customer,Analytics,Page Comparator,"[
  ""b2b"",
  ""b2c""
]","[
  ""finance_insurance""
]",3
2023-09-01,0015700001wVJYBAA4,1923,5749629838670711905,customer,UI / UX Design,Zoning Analysis,"[
  ""b2c"",
  ""affiliate"",
  ""e_commerce"",
  ""multi_domain""
]","[
  ""food_supplies""
]",1
2023-06-01,0017T0000054mjOQAQ,24976,1195871515696203409,customer,Product management,Zoning Analysis,"[
  ""affiliate""
]","[
  ""marketplace""
]",2
2023-02-01,00157000025jUbvAAE,12960,16818364657207561262,customer,Product management,Alerts,"[
  ""b2c"",
  ""e_commerce"",
  ""brick_mortar"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""consumer_equipment""
]",1
2023-11-01,0015700002By6IxAAJ,44640,3831104198868192288,customer,Product management,Mappings,,"[
  ""travel""
]",1
2023-01-01,00157000025jUbvAAE,12960,9560043673979360911,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""brick_mortar"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""consumer_equipment""
]",14
2023-03-01,0015700001yNxwqAAC,2043,13144865511760984126,customer,Analytics,Homepage,"[
  ""e_commerce"",
  ""brick_mortar"",
  ""b2c"",
  ""b2b"",
  ""multi_country"",
  ""lead_generation""
]","[
  ""vehicle""
]",7
2023-10-01,0015700002E7ACoAAN,34464,14062823248846627693,customer,Technical / IT / Security,Mappings,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""health_supplies""
]",3
2023-10-01,001D000000xmDJ0IAM,37248,15199283690872281945,customer,Analytics,Zoning Analysis,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",17
2023-11-01,00157000024ZCqeAAG,51488,2784989679705401436,customer,Technical / IT / Security,Settings,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",1
2023-11-01,0015700001unVFDAA2,32144,14194853010245015760,customer,Product management,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",16
2023-07-01,0015700002G4DQhAAN,36896,13881351435812012401,customer,Analytics,Mappings,"[
  ""b2c""
]","[
  ""finance_insurance""
]",3
2023-10-01,0012o00002JL7ziAAD,19168,12481589936444315133,customer,Product management,Mappings,"[
  ""b2c""
]","[
  ""travel""
]",11
2023-11-01,001D000000yodtjIAA,17408,683301742129358567,customer,Analytics,Homepage,"[
  ""b2c"",
  ""brick_mortar"",
  ""lead_generation"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""vehicle""
]",10
2023-08-01,0017T00000AjokmQAB,45312,14048613021636208795,customer,Others,Session Replay,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",11
2023-04-01,0012o00002grS3IAAU,3050,9793584481027421533,customer,Analytics,Impact Quantification,"[
  ""e_commerce"",
  ""brick_mortar"",
  ""b2c""
]","[
  ""food_supplies""
]",2
2023-09-01,0012o00002zLycwAAC,31152,16432204965280816451,customer,Product management,Zoning Analysis,"[
  ""e_commerce""
]","[
  ""travel""
]",1
2023-11-01,0015700001wVJYBAA4,1644,5565144480351639976,partner,Analytics,Mappings,"[
  ""b2c"",
  ""affiliate"",
  ""e_commerce"",
  ""multi_domain""
]","[
  ""food_supplies""
]",23
2023-02-01,001D0000017K5AYIA0,18304,5862474816935016552,customer,Marketing,Zoning Analysis,,"[
  ""fashion""
]",6
2023-06-01,0015700001svWnvAAE,30112,14493608217682017352,customer,Analytics,Homepage,"[
  ""b2c"",
  ""e_commerce"",
  ""pure_player""
]","[
  ""fashion""
]",6
2023-04-01,00157000026BvjVAAS,40576,16879026766381668946,customer,Technical / IT / Security,Mappings,"[
  ""b2c"",
  ""pure_player""
]","[
  ""food_supplies""
]",1
2023-03-01,00157000023oFnEAAU,18256,16914147436429375575,customer,Merchandising,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",32
2023-05-01,00157000021SdS3AAK,5303,12021477032020770138,customer,Analytics,Zoning Analysis,"[
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""fashion""
]",5
2023-12-01,001D000000vhmNjIAI,18704,6865300311900075702,customer,Product management,Mappings,"[
  ""e_commerce""
]","[
  ""fashion""
]",1
2023-02-01,001D0000010w8ETIAY,3454,17177461383735698671,customer,Product management,Homepage,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""fashion""
]",1
2023-09-01,00157000026BvjVAAS,40576,1895907586372257310,customer,,Page Comparator,"[
  ""b2c"",
  ""pure_player""
]","[
  ""food_supplies""
]",2
2023-09-01,001D000000xmDJ0IAM,37248,689060825591733400,customer,Data science,Journey Analysis,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",6
2023-12-01,00157000025k4IKAAY,66736,3536760182123222910,customer,Others,Homepage,"[
  ""b2b""
]","[
  ""finance_insurance""
]",6
2023-06-01,00157000021SdS3AAK,5303,13133333895036116322,customer,Others,Zoning Analysis,"[
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""fashion""
]",7
2023-08-01,001D000001UZQ8hIAH,3669,3678428074630184459,customer,Merchandising,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""pure_player""
]","[
  ""fashion""
]",17
2023-09-01,0012o00002MZCPgAAP,39328,13705200561743641768,customer,Merchandising,Homepage,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""cosmetics""
]",2
2023-11-01,001D000000qxlgbIAA,22176,13111392373983595198,customer,Optimisation / Performance,Mappings,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""cosmetics""
]",1
2023-08-01,00157000023oFnEAAU,18224,10515600562253519160,customer,Merchandising,Mappings,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",23
2023-04-01,0012o00002sYNE9AAO,18000,3508503910600457303,customer,Technical / IT / Security,Journey Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""food_supplies""
]",1
2023-03-01,001D000000vhmaWIAQ,4593,6133162216077453082,customer,Analytics,Zoning Analysis,"[
  ""b2b"",
  ""b2c"",
  ""lead_generation"",
  ""e_commerce"",
  ""pure_player""
]","[
  ""energy""
]",3
2023-10-01,0012o00002JL7ziAAD,19184,12481589936444315133,customer,Product management,Impact Quantification,"[
  ""b2c""
]","[
  ""travel""
]",1
2023-03-01,00157000020YJnzAAG,5849,13037488869736272427,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""travel""
]",30
2023-04-01,001D0000010w8ETIAY,4233,4932713175909655494,customer,Analytics,Homepage,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""fashion""
]",1
2023-01-01,0015700001u7XmsAAE,3247,12539565303036360433,customer,Acquisition,Homepage,"[
  ""b2c"",
  ""pure_player"",
  ""e_commerce""
]","[
  ""consumer_equipment""
]",21
2023-11-01,0012o00002tTy5hAAC,33424,863676534761330133,customer,Technical / IT / Security,Mappings,,"[
  ""health_supplies""
]",1
2023-03-01,001D000000xmDJ0IAM,37264,689060825591733400,customer,Data science,Journey Analysis,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",11
2023-10-01,0015700001rxLCeAAM,5753,2756597182951280422,customer,Others,Mappings,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",2
2023-09-01,00157000025jUbvAAE,12928,4345172667420605054,customer,Product management,Homepage,"[
  ""b2c"",
  ""e_commerce"",
  ""brick_mortar"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""consumer_equipment""
]",4
2023-03-01,00157000023lXzrAAE,21520,5333832432882381802,customer,UI / UX Design,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""travel""
]",3
2023-07-01,0015700002F7YDSAA3,27744,6312046955661201535,customer,Analytics,Journey Analysis,"[
  ""b2b""
]","[
  ""industrial""
]",8
2023-07-01,0012o00002MZCPgAAP,39328,15165532994268891012,customer,Content management,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""cosmetics""
]",7
2023-02-01,00157000026BvjVAAS,40576,4633626703695949497,customer,Product management,Journey Analysis,"[
  ""b2c"",
  ""pure_player""
]","[
  ""food_supplies""
]",16
2023-06-01,0015700001yN2phAAC,43168,16436525624310161658,customer,Analytics,Journey Analysis,"[
  ""b2b"",
  ""b2b2c"",
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_domain"",
  ""multi_country""
]","[
  ""finance_insurance""
]",2
2023-11-01,0015700001u7XmsAAE,3272,12259059070694124924,customer,Analytics,Segments,"[
  ""b2c"",
  ""pure_player"",
  ""e_commerce""
]","[
  ""entertainment""
]",1
2023-05-01,0015700002G4DQhAAN,37712,358932088657864093,customer,Technical / IT / Security,Session Replay,"[
  ""b2c""
]","[
  ""finance_insurance""
]",53
2023-07-01,00157000023oFnEAAU,18256,8195760051351196755,customer,Merchandising,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",12
2023-12-01,001D000000sWJ8GIAW,4609,6116399291648997721,customer,Analytics,Page Comparator,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce""
]","[
  ""food_supplies""
]",1
2023-05-01,001D0000010w8ETIAY,4233,9053339811808602477,customer,Technical / IT / Security,Homepage,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""fashion""
]",1
2023-10-01,0012o00003DL8DFAA1,55840,2271002716236807421,customer,Merchandising,Journey Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_domain""
]","[
  ""cosmetics""
]",1
2023-11-01,00157000020IAXmAAO,51392,11787438755210246317,customer,Others,Funnel,"[
  ""b2c"",
  ""b2b"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""travel""
]",1
2023-07-01,0015700002BjSttAAF,5230,741756742534855161,customer,Content management,Zoning Analysis,"[
  ""e_commerce"",
  ""multi_country"",
  ""b2c""
]","[
  ""fashion""
]",6
2023-02-01,00157000021SdS3AAK,5304,16133076768466774747,customer,Others,Mappings,"[
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""fashion""
]",2
2023-09-01,00157000023oFnEAAU,18224,8195760051351196755,customer,Merchandising,Homepage,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",12
2023-07-01,00157000021SG5FAAW,33136,17807128558830135841,customer,Optimisation / Performance,Journey Analysis,"[
  ""e_commerce""
]","[
  ""food_supplies""
]",1
2023-02-01,0012o00002JL7ziAAD,19168,17214244226017709158,customer,Marketing,Homepage,"[
  ""b2c""
]","[
  ""travel""
]",2
2023-05-01,001D000000sWJ8GIAW,16528,8182468471776032771,customer,Analytics,Homepage,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce""
]","[
  ""food_supplies""
]",11
2023-05-01,001D000001es1s2IAA,16480,5180225006555573917,customer,UI / UX Design,Zoning Analysis,"[
  ""b2c"",
  ""b2b"",
  ""lead_generation""
]","[
  ""finance_insurance""
]",2
2023-03-01,00157000023lXzrAAE,21536,8366975547597824185,customer,Technical / IT / Security,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""travel""
]",14
2023-02-01,001D000001UZQ8hIAH,3669,10448023645529423167,customer,Analytics,Funnel,"[
  ""b2c"",
  ""e_commerce"",
  ""pure_player""
]","[
  ""fashion""
]",3
2023-04-01,00157000028bRaFAAU,28880,12988477534657305265,customer,,Zoning Analysis,"[
  ""e_commerce""
]","[
  ""consumer_equipment""
]",2
2023-11-01,0017T00000AjokmQAB,45312,12303190812835643028,customer,UI / UX Design,Page Comparator,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",13
2023-06-01,0012o00002grS3IAAU,3050,440717159944628969,customer,Merchandising,Homepage,"[
  ""e_commerce"",
  ""brick_mortar"",
  ""b2c""
]","[
  ""food_supplies""
]",3
2023-03-01,00157000020XsBpAAK,5029,16223806658414850400,customer,,Homepage,"[
  ""e_commerce"",
  ""brick_mortar"",
  ""b2b"",
  ""b2c""
]","[
  ""telecom""
]",5
2023-12-01,0017T00000547ZjQAI,29840,6967152484757626624,customer,UI / UX Design,Session Replay,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",3
2023-01-01,001D000000xmDJ0IAM,37264,689060825591733400,customer,Data science,Homepage,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",7
2023-06-01,00157000020YJnBAAW,51632,5533676780015034331,customer,Analytics,Zoning Analysis,,"[
  ""vehicle""
]",3
2023-02-01,0017T0000054mjOQAQ,24976,1195871515696203409,customer,Product management,Zoning Analysis,"[
  ""affiliate""
]","[
  ""marketplace""
]",10
2023-03-01,0017T0000054mjOQAQ,24992,12919356994966923494,customer,Product management,Journey Analysis,"[
  ""affiliate""
]","[
  ""marketplace""
]",1
2023-08-01,0015700002BjSttAAF,5230,7724172199494507119,customer,Analytics,Zoning Analysis,"[
  ""e_commerce"",
  ""multi_country"",
  ""b2c""
]","[
  ""fashion""
]",2
2023-04-01,0017T00000547ZjQAI,29840,3787174844191585393,customer,UI / UX Design,Mappings,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""consumer_equipment""
]",2
2023-08-01,00157000021SdS3AAK,5303,6656346527434961461,customer,Analytics,Impact Quantification,"[
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""fashion""
]",1
2023-03-01,00157000023oFnEAAU,18224,383516372887008951,customer,Technical / IT / Security,Homepage,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",1
2023-07-01,0015700002G4DQhAAN,37712,13881351435812012401,customer,Analytics,Session Replay,"[
  ""b2c""
]","[
  ""finance_insurance""
]",20
2023-10-01,0015700002EVxflAAD,61264,16186887678241810987,customer,,Homepage,,"[
  ""software""
]",2
2023-05-01,0017T00000547ZjQAI,29840,6967152484757626624,customer,UI / UX Design,Page Comparator,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""consumer_equipment""
]",15
2023-09-01,0017T0000054mjOQAQ,24976,9843429592023711714,customer,,Zoning Analysis,"[
  ""affiliate""
]","[
  ""marketplace""
]",4
2023-10-01,00157000020YJnzAAG,5848,10238147893959104895,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""travel""
]",1
2023-12-01,0015700002E7ACoAAN,34448,18070673621597956842,customer,,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""health_supplies""
]",1
2023-01-01,00157000021SQ9xAAG,5718,2862079815864480342,customer,Acquisition,Homepage,"[
  ""e_commerce""
]","[
  ""fashion""
]",6
2023-11-01,001D000000xmDJ0IAM,37248,11452202783262430218,customer,Analytics,Page Comparator,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",1
